全部,#genre#
CCTV1,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV2,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV3,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV4,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV5,http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV7,http://112.50.243.8/PLTV/88888888/224/3221226803/1.m3u8
CCTV8,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV9,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV10,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV11,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV12,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV13,http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8
CCTV14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV15,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV17,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
湖南卫视HD,http://101.71.255.234:6610/zjhs/2/10024/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
浙江卫视HD,http://101.71.255.234:6610/zjhs/2/10059/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
东方卫视HD,http://101.71.255.234:6610/zjhs/2/10009/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江苏卫视HD,http://101.71.255.234:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
北京卫视HD,http://101.71.255.234:6610/zjhs/2/10005/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
